,State,Cases,Deaths,Population,NewCases,NewDeaths,NewCases_7da,NewCases_prev1wk,NewCases_prev2wk,NewCases_prev3wk,NewCases_prev4wk,NewCases_prev5wk,NewCases_prev6wk,NewDeaths_7da,NewDeaths_prev1wk,NewDeaths_prev2wk,NewDeaths_prev3wk,NewDeaths_prev4wk,NewDeaths_prev5wk,NewDeaths_prev6wk,NewCases_next1wk,NewCases_next2wk,NewCases_next3wk,NewCases_next4wk,NewCases_next5wk,NewCases_next6wk,NewDeaths_next1wk,NewDeaths_next2wk,NewDeaths_next3wk,NewDeaths_next4wk,NewDeaths_next5wk,NewDeaths_next6wk,Cases_100k,NewCases_100k,NewCases_7da_100k,NewCases_prev1wk_100k,NewCases_prev2wk_100k,NewCases_prev3wk_100k,NewCases_prev4wk_100k,NewCases_prev5wk_100k,NewCases_prev6wk_100k,NewCases_next1wk_100k,NewCases_next2wk_100k,NewCases_next3wk_100k,NewCases_next4wk_100k,NewCases_next5wk_100k,NewCases_next6wk_100k,Deaths_100k,NewDeaths_100k,NewDeaths_7da_100k,NewDeaths_prev1wk_100k,NewDeaths_prev2wk_100k,NewDeaths_prev3wk_100k,NewDeaths_prev4wk_100k,NewDeaths_prev5wk_100k,NewDeaths_prev6wk_100k,NewDeaths_next1wk_100k,NewDeaths_next2wk_100k,NewDeaths_next3wk_100k,NewDeaths_next4wk_100k,NewDeaths_next5wk_100k,NewDeaths_next6wk_100k,Governor,Legislature,Control,Cases_pctPop,Deaths_pctPop
172,Alabama,155744.0,2548.0,4903185,1043.0,8.0,1076.857142857143,7538.0,13987.0,20179.0,26459.0,34721.0,43295.0,6.0,42.0,147.0,247.0,315.0,472.0,574.0,4421.415261457994,8366.595188612002,11490.335452453,13990.484096094006,16113.553421240998,17788.254694184987,50.638465103039835,92.30718346476988,128.19622134191013,157.8454285428502,180.21914946857987,198.36179527778995,3176.384329777481,21.271887558801065,21.962400824303856,153.73680577012698,285.26355827895543,411.5488197977437,539.6288330952228,708.1315512263967,882.9974802092926,90.17435119127657,170.63592723121812,234.3443180800439,285.3346160932946,328.6344166341062,362.7897926385602,51.96622195572878,0.16315925260825362,0.12236943945619022,0.8565860761933315,2.99805126667666,5.0375419242798305,6.4243955714499865,9.626395903886964,11.706676374642198,1.032766764930139,1.8825963830605998,2.6145499576685385,3.2192427685851173,3.6755527166235797,4.045570282944452,R,R,R,3.176384329777481,0.051966221955728774
392,Alaska,7948.0,57.0,731545,124.0,1.0,116.57142857142857,816.0,1411.0,1936.0,2484.0,2974.0,3428.0,1.5714285714285714,11.0,13.0,15.0,17.0,20.0,28.0,698.1822475786594,1322.7442986431306,1878.2445512824797,2337.9868112813,2726.9000532873997,3062.4971494867987,3.0810177701914014,6.220912780936004,9.126720291880503,11.4962619026184,13.6386650715407,15.322323939287912,1086.4676814139937,16.9504268363532,15.934963477493328,111.54474434245331,192.8794537588255,264.64537383209506,339.55532468952697,406.5368500912453,468.59728383079647,95.43941214534435,180.81516497865897,256.7503778007477,319.59576120147085,372.7590309943202,418.6341441041629,7.791728465097841,0.1366969906157516,0.21480955668189533,1.5036668967732676,1.7770608780047705,2.050454859236274,2.323848840467777,2.733939812315032,3.8275157372410447,0.42116585721881794,0.850380056037018,1.2475951980917788,1.57150440541845,1.864364471295778,2.0945155717403456,R,R,R,1.0864676814139935,0.007791728465097842
612,American Samoa,0.0,0.0,55197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,NA,NA,NA,0.0,0.0
785,Arizona,219212.0,5674.0,7278717,705.0,24.0,480.0,3360.0,7552.0,12210.0,15259.0,19073.0,22932.0,16.428571428571427,115.0,265.0,401.0,544.0,745.0,990.0,2071.2981691769965,4041.3862057039805,5630.279692593991,6898.332604841009,7893.638996877999,8699.263188774989,62.86707771334932,126.32274198816049,176.72596703485942,217.88262333834973,250.47763152290008,276.6551043613099,3011.6846141978044,9.685772918496488,6.594568795572077,46.16198156900454,103.75454905033402,167.7493437373647,209.63859427423816,262.0379388290546,315.05552420845595,28.456913068292067,55.523332006231044,77.35263910650724,94.77401861950408,108.44821960900525,119.51643660242578,77.95329863765826,0.32972843977860383,0.2257069677055919,1.5799487739391431,3.6407515225554175,5.5092126813008395,7.4738446349816865,10.235320318127494,13.601298140867408,0.8637109769942878,1.7355083593463037,2.4279823907820486,2.993420727009303,3.4412332767285783,3.8008773299100636,R,R,R,3.0116846141978044,0.07795329863765826
1005,Arkansas,84821.0,1384.0,3017804,1124.0,15.0,824.5714285714286,5772.0,11610.0,18017.0,21740.0,26076.0,30056.0,19.714285714285715,138.0,218.0,444.0,523.0,645.0,743.0,4451.423244162797,8517.519875268306,11869.814754115097,14722.415775533911,17070.163579829008,19110.55002047401,87.41396684536016,162.04122687230006,224.06498199678003,276.88617700169016,320.64528743867004,358.3118108908802,2810.686181077366,37.2456262898452,27.32355807638364,191.26490653468548,384.7168338301626,597.0235310179189,720.3913839334828,864.0720205818535,995.9559997932271,147.50537954627927,282.24231511616745,393.32623172727915,487.851953789375,565.6485172605314,633.2601461352033,45.861162620236435,0.49705017290718684,0.6532659415351598,4.572861590746119,7.2237958462511145,14.712685118052729,17.330482695363912,21.37315743500903,24.620551898002653,2.896608488999291,5.369507988997962,7.424769202929681,9.175088143620002,10.625119704217704,11.873263170533281,R,R,R,2.810686181077366,0.045861162620236436
1225,California,822205.0,15973.0,39512223,3090.0,88.0,3241.285714285714,22689.0,47168.0,71244.0,96187.0,130384.0,169938.0,82.85714285714286,580.0,1169.0,1896.0,2480.0,3296.0,4163.0,18494.156454880955,33836.487327005016,46240.067332694074,55910.53292565793,64741.18747960206,71580.07525054412,430.0738794505014,800.8096608349988,1111.7369304554013,1358.8253359697992,1559.3445607356007,1729.827997185701,2080.8877293489663,7.820364852668502,8.203248180406641,57.42273726284648,119.37571824293458,180.30876167104037,243.43606281023472,329.9839647088446,430.0896965478252,46.8061654108425,85.63549392552531,117.02724833450671,141.50186620899038,163.8510378917482,181.15932189020123,40.42546530474886,0.22271589224428096,0.20970002841182298,1.467900198882761,2.9585781594723235,4.798515132899508,6.2765387814297355,8.341722509513069,10.53598022060161,1.08845781582702,2.0267390696671224,2.8136532091737823,3.4389999670982805,3.9464865359147234,4.377956657072169,D,D,D,2.0808877293489663,0.040425465304748866
1445,Colorado,71197.0,2054.0,5758736,682.0,3.0,571.5714285714286,4001.0,8072.0,11042.0,12930.0,14874.0,16986.0,3.0,21.0,48.0,75.0,99.0,123.0,151.0,2874.4717637340073,5426.752859893604,7520.048920336601,9304.729790260099,10818.132417674293,12027.931085233198,23.269483931400373,42.79582673531013,58.60548164450029,71.9712931967997,83.21648743033029,92.38075522537974,1236.3303336009847,11.842876631260749,9.925293129801897,69.47705190861328,140.16964833949672,191.74346592724515,224.52843818504616,258.2858460606633,294.96056078972885,49.91497724038761,94.23513875082317,130.58506103312604,161.57590468220974,187.8560228785326,208.86408206997504,35.66754926775598,0.05209476524014992,0.05209476524014992,0.36466335668104943,0.8335162438423988,1.302369131003748,1.7191272529249475,2.1358853748461466,2.622103183754213,0.4040727675552478,0.7431461823447043,1.017679602685386,1.2497758743724265,1.4450477922643143,1.6041845853913035,D,D,D,1.2363303336009845,0.035667549267755984
1665,Connecticut,57742.0,4511.0,3565287,192.0,3.0,181.42857142857142,1270.0,2356.0,3649.0,4533.0,5392.0,6310.0,1.7142857142857142,12.0,23.0,33.0,43.0,46.0,53.0,1135.775921402099,2074.896865764902,2839.117263053493,3474.2272276262956,3953.801592939599,4360.483887753704,5.652419284469943,11.927731828110154,16.925551874330267,21.236450354849694,24.756395580800017,27.37018303249988,1619.5610619846311,5.385260709726875,5.088750819459174,35.62125573621422,66.08163662560686,102.3480017176738,127.14263956870795,151.23607159816308,176.9843493665447,31.856507523857093,58.19719045801648,79.63222211994413,97.44593429999593,110.89714777350599,122.30386747977664,126.5255784457184,0.08414469858948243,0.048082684908275664,0.3365787943579297,0.6451093558526986,0.9255916844843066,1.2060740131159147,1.2902187117053971,1.4865563417475227,0.15854037233103374,0.33455179984416833,0.4747318203087232,0.5956449047397782,0.6943731481028039,0.7676852672028894,D,D,D,1.6195610619846312,0.1265255784457184
1885,Delaware,20787.0,636.0,973764,174.0,0.0,120.0,840.0,1469.0,2321.0,3134.0,3811.0,4069.0,0.8571428571428571,6.0,17.0,23.0,30.0,32.0,41.0,551.5180284605995,1052.6044131576018,1469.0360908779003,1816.362249938502,2109.6942997365004,2342.1220252327003,5.577207762888065,9.728546708244039,13.233904772680944,16.18737242262705,18.502993155886998,20.151098756011947,2134.7061505662564,17.86880599406016,12.323314478662182,86.26320135063526,150.85790807628953,238.353440874791,321.8438964677273,391.36792898484646,417.8630551139702,56.63775087809772,108.09646004140653,150.86161440327433,186.53002677635462,216.65355257911574,240.52255220286438,65.31356673690956,0.0,0.08802367484758701,0.616165723933109,1.7458028844771425,2.361968608410251,3.0808286196655454,3.2862171943099145,4.210465780209578,0.5727473764575467,0.9990661708837089,1.3590464191201301,1.6623506745604737,1.9001516954710789,2.0694027255076124,D,D,D,2.1347061505662563,0.06531356673690956
2105,District of Columbia,15326.0,627.0,705749,0.0,0.0,31.428571428571427,220.0,536.0,914.0,1191.0,1532.0,1917.0,0.8571428571428571,6.0,8.0,11.0,18.0,22.0,26.0,215.87817975110192,365.1375883714991,488.0914756968996,589.2798312900995,669.8381051792985,734.6842753625006,2.4687259343450023,4.518061612871975,6.023767457626036,7.462560719804969,8.47173186078794,9.276372094793032,2171.593583554493,0.0,4.453222240282512,31.172555681977588,75.94768111609085,129.50779951512507,168.75688098743322,217.07434229449848,271.62631473795926,30.588520812796325,51.737599114061666,69.15935774572824,83.49708342344084,94.91166196187292,104.09993855641319,88.84178369363612,0.0,0.1214515156440685,0.8501606095084796,1.1335474793446394,1.5586277840988791,2.550481828525439,3.1172555681977583,3.6840293078700785,0.34980225750868965,0.6401796690993504,0.8535283022187826,1.0573958616739052,1.2003887870599803,1.3144010256894494,D,D,D,2.1715935835544933,0.08884178369363613
2325,Florida,709144.0,14444.0,21477737,2628.0,127.0,2300.5714285714284,16104.0,34688.0,54413.0,72131.0,97153.0,120542.0,92.71428571428571,649.0,1358.0,2118.0,2794.0,3576.0,4395.0,11658.132855072035,21922.28375101206,30128.471066915896,36748.48779260402,41944.879872257006,46095.151477237,436.6630835682008,831.3630826386016,1153.5702711066988,1407.6402188615994,1620.7725998071,1795.5620284660017,3301.763123368165,12.235925973020342,10.711423780687083,74.97996646480959,161.50677326945572,253.34605782722824,335.8407824809476,452.34281432908875,561.2416242921682,54.280080136338555,102.06980256351989,140.2776794730092,171.1003714804964,195.29468990265133,214.61828812428888,67.25103301153189,0.5913099690158232,0.4316762315987281,3.0217336211910966,6.32282628286211,9.861374128941053,13.008819318348111,16.649798812603024,20.463049715153883,2.0330963339769026,3.8708132176057544,5.371004734375409,6.553950348035268,7.546291305304186,8.360108089907245,R,R,R,3.301763123368165,0.06725103301153189
2545,Georgia,319359.0,7063.0,10617423,1333.0,42.0,1094.4285714285713,7661.0,18456.0,30236.0,42071.0,56285.0,72618.0,35.285714285714285,247.0,589.0,859.0,1195.0,1670.0,2159.0,6467.275168578955,12089.826616514008,16656.94809053,20450.23737915198,23538.661198243033,25844.781753836025,201.9340818171595,376.2398199441086,517.569637228441,627.7862821170802,726.6647465005799,796.1946650151604,3007.8767700976027,12.5548355754499,10.30785503627925,72.15498525395475,173.82749090810455,284.7772006446385,396.2449268527777,530.1192200781677,683.9512751823112,60.911910249586505,113.86780593100612,156.88315413759065,192.61017837522323,221.69844036771477,243.41859370052435,66.52273343541083,0.39557621468034193,0.33233784022464097,2.3263648815724873,5.5474854868267,8.090475438343184,11.255085155785919,15.728863774194549,20.334501130829956,1.901912373813867,3.543607709178664,4.874719950673916,5.9127933597171385,6.844078327674992,7.498944565128095,R,R,R,3.0078767700976026,0.06652273343541083
2765,Guam,2488.0,49.0,168783,0.0,0.0,32.142857142857146,225.0,443.0,642.0,928.0,1256.0,1784.0,1.5714285714285714,11.0,19.0,28.0,36.0,40.0,43.0,,,,,,,,,,,,,1474.0821054253095,0.0,19.04389490817034,133.30726435719237,262.4671916010499,380.37006096585554,549.818405882109,744.1507734783717,1056.9784871699164,,,,,,,29.031359793344116,0.0,0.9310348621772166,6.517244035240515,11.2570578790518,16.589348453339497,21.32916229715078,23.699069219056422,25.47649941048565,,,,,,,NA,NA,NA,1.4740821054253095,0.029031359793344116
2938,Hawaii,12515.0,139.0,1415872,105.0,3.0,105.14285714285714,736.0,1410.0,2223.0,3313.0,4949.0,6671.0,2.142857142857143,15.0,32.0,45.0,60.0,84.0,94.0,627.4588129505009,1170.4125567501997,1601.2080608733013,1969.1053658665987,2258.7153683552006,2508.7657155202996,11.290237989089974,21.94405994882098,30.44921620144501,37.904804120612994,44.36815272048,49.44537488121003,883.9075848664287,7.415924603353975,7.426014296691872,51.9821000768431,99.58527324503909,157.00571803100846,233.99007819915923,349.5372463047507,471.15840979975593,44.316069033818096,82.66372643503082,113.08988813065739,139.07368504120421,159.5282178300864,177.18873708359934,9.817271617773358,0.21188356009582787,0.1513454000684485,1.0594178004791392,2.2600913076888305,3.1782534014374177,4.237671201916557,5.932739682683181,6.6390182163359395,0.7974052731525147,1.549861848304153,2.1505627769632434,2.6771349472701624,3.133627384430231,3.492220686701201,D,D,D,0.8839075848664286,0.009817271617773357
3158,Idaho,42561.0,472.0,1787065,513.0,3.0,475.2857142857143,3327.0,6072.0,7944.0,9634.0,11448.0,13451.0,2.142857142857143,15.0,38.0,65.0,100.0,129.0,176.0,2932.4668520882988,5427.7861402945055,7498.848481334404,9284.817139464903,10734.500161899101,11948.9744824691,26.381507797350025,47.810160797203025,66.48637515544999,81.82154565717701,94.92051548929203,104.776877827362,2381.614546756833,28.706286564842355,26.59588287419396,186.17118011935773,339.77499419439135,444.5277592029389,539.0962276134333,640.6034475522715,752.6866678044727,164.09402299794908,303.7262852942957,419.61811581192643,519.5567670714217,600.6776564869829,668.6368141320602,26.41202194659959,0.16787302084703132,0.11990930060502236,0.8393651042351566,2.12639159739573,3.637248785019012,5.59576736156771,7.218539896422346,9.84855055635917,1.4762478028135533,2.6753453734029273,3.7204228808381337,4.578543346614533,5.311531225181627,5.863070331933198,R,R,R,2.381614546756833,0.02641202194659959
3378,Illinois,297884.0,8940.0,12671821,2164.0,24.0,2046.4285714285713,14325.0,27590.0,40318.0,56180.0,69134.0,82832.0,23.714285714285715,166.0,316.0,479.0,616.0,754.0,896.0,11099.059707173961,20547.918940284,28215.61885099602,34268.43704927701,39339.41250197298,43963.27226429299,127.0115258275091,236.3495389744494,327.522591802659,396.6695351119906,458.15817796052943,502.3700972159204,2350.759216059002,17.077261429118987,16.149443489050007,113.04610442335004,217.72719169565292,318.1705297131328,443.34590900550126,545.5727318117894,653.6708496750388,87.58851397264814,162.15442863566332,222.66427888301155,270.4302487328144,310.44798140672117,346.93728915751717,70.55023899090746,0.18939661474069117,0.18714189313663535,1.3099932519564472,2.493722094085767,3.780040769199628,4.861179778344407,5.950210313103381,7.070806950319137,1.002314709365837,1.8651584407201567,2.5846529224383694,3.130327796707282,3.6155669967286426,3.964466489985302,D,D,D,2.3507592160590023,0.07055023899090747
3598,Indiana,121176.0,3645.0,6732219,1157.0,13.0,991.4285714285714,6940.0,12530.0,18933.0,24322.0,30672.0,37899.0,13.857142857142858,97.0,167.0,235.0,313.0,379.0,454.0,5094.383561964001,9568.275971875992,13355.273354156001,16356.036540786008,19075.253944836993,21140.71304505499,54.9665827488202,105.27366326728998,147.66922729188946,180.90535672466012,208.98393012006045,231.4953959838299,1799.9414457551068,17.186012516823947,14.726623887734066,103.08636721413846,186.11991083474854,281.2297104416835,361.27761143836824,455.60015204496466,562.9496010156532,75.6716851006184,142.12662974683374,198.37847452906686,242.9516410679155,283.3427424870907,314.02295506214205,54.142623702526606,0.19310126423397692,0.20583321572193145,1.4408325100535202,2.480608548236473,3.4906766996141987,4.6492842850180605,5.629644549590559,6.74369030478658,0.8164705091860529,1.5637290359581288,2.1934703445014114,2.687157930017727,3.104235470059136,3.4386195099094357,R,R,R,1.7999414457551068,0.05414262370252661
3818,Iowa,90428.0,1366.0,3155070,1181.0,8.0,919.5714285714286,6437.0,13224.0,17970.0,22737.0,28940.0,35895.0,9.0,63.0,116.0,159.0,230.0,275.0,350.0,5110.578073541692,9770.28185800901,13533.970114433003,16720.388958532,19453.321441328997,21459.212476781002,45.03335604889003,84.92959448208012,117.30504885797995,145.93544087656005,170.49164299898007,189.5244773674499,2866.1170750569718,37.43181609282837,29.14583285224824,204.0208299657377,419.1349161825252,569.559470946762,720.6496210860615,917.2538168725258,1137.6926660898173,161.9798633165569,309.66925798822245,428.95942449558976,529.9530266692022,616.5733705220168,680.150122716168,43.29539439695474,0.2535601428811405,0.28525516074128304,1.9967861251889816,3.676622071776537,5.039507839762668,7.28985410783279,8.716129911539205,11.093256251049898,1.4273330242717286,2.6918450139641945,3.717985618638571,4.62542640501035,5.403735669857723,6.00698169509551,R,R,R,2.8661170750569718,0.04329539439695474
4038,Kansas,59514.0,672.0,2913314,474.0,3.0,603.1428571428571,4222.0,8350.0,11712.0,15120.0,19154.0,23607.0,7.285714285714286,51.0,90.0,169.0,201.0,228.0,253.0,3335.086392327903,6047.676266006398,8309.580054112303,10281.697085598498,11932.179158836108,13128.811405396598,45.17007365971608,80.77736931526795,109.80130810439198,133.43726920077802,153.63471956303295,170.94380025036503,2042.8282018347488,16.27013085441528,20.70298145489491,144.9208701842644,286.6151743341089,402.016397820489,518.9965791535001,657.4643172689247,810.3143018569232,114.47740931214085,207.58751943684746,285.2277527967223,352.92100630410926,409.5740850054649,450.64869098890813,23.06651462904445,0.10297551173680557,0.2500833856465278,1.7505836995256947,3.0892653521041673,5.800953827840048,6.899359286365973,7.826138891997224,8.684268156470603,1.550470483432822,2.7726969806642177,3.768948630473474,4.580257026904,5.273537955847978,5.867675103005204,D,R,S,2.042828201834749,0.023066514629044448
4258,Kentucky,69728.0,1191.0,4467673,888.0,17.0,795.7142857142857,5570.0,10358.0,14956.0,18843.0,23750.0,28102.0,7.714285714285714,54.0,98.0,156.0,215.0,281.0,335.0,5149.436634997503,9731.706344285398,13637.075033133893,16768.9703979685,19431.627740756798,21516.2100667099,46.286406264330026,92.72435720551994,133.16439202493007,168.8168329051598,199.07426152460994,222.22271202804995,1560.722998303591,19.876118954990663,17.810486257930823,124.67340380551576,231.84328844120867,334.7603998770725,421.76318633883903,531.5966499786354,629.0075392715627,115.25992692387071,217.82494699780844,305.23888013142175,375.34014682740883,434.9384509733993,481.59769228208734,26.65817305787599,0.3805112863004969,0.1726689870607297,1.208682909425108,2.1935356504381587,3.491750627228089,4.812348620859226,6.289627732378802,7.4983106418039105,1.036029410933388,2.075450848921126,2.980620829342928,3.7786300139952007,4.455882548355932,4.974014705822246,D,R,S,1.560722998303591,0.026658173057875992
4478,Louisiana,166584.0,5519.0,4648794,551.0,8.0,480.2857142857143,3362.0,7280.0,11165.0,15933.0,20947.0,25763.0,13.714285714285714,96.0,206.0,358.0,498.0,645.0,882.0,2261.2752628230082,4200.916851424001,5745.348836054996,7007.72952923199,8012.927079905989,8806.52439397198,76.06491818117047,134.81314753176048,184.4790674832202,222.06200747602998,254.03914941762105,282.8666469248292,3583.380980099355,11.85253637825208,10.331404538160097,72.31983176712068,156.5997546890656,240.16981608563424,342.73405102484645,450.5899809714089,554.1867417657139,48.642191132216404,90.36573467062642,123.58794207820343,150.74295675893555,172.3657163536605,189.43675271418738,118.71896238035069,0.1720876425154567,0.2950073871693543,2.0650517101854806,4.4312567947730095,7.700922002566687,10.712455746587178,13.874566177808695,18.9726625873291,1.636229055991091,2.89995959235364,3.968320977079651,4.776765919849965,5.464624791238783,6.0847318019432395,D,R,S,3.583380980099355,0.11871896238035068
4698,Maine,5428.0,141.0,1344212,39.0,0.0,30.571428571428573,214.0,466.0,795.0,810.0,1014.0,1175.0,0.14285714285714285,1.0,3.0,7.0,8.0,9.0,13.0,176.24933346750004,329.284486426639,460.0400467296804,564.0987880379007,655.3877660072103,725.7140022133899,2.4142257982800004,4.415159783684999,6.106606014652016,7.354581412018007,8.544561267231018,9.407388847147985,403.80535213195543,2.901328064323187,2.2743011200189085,15.920107840132362,34.667150717297574,59.14245669581882,60.258352105173884,75.43452967240286,87.4118070661473,13.111721474551636,24.49646978502193,34.223771751009544,41.965016532950216,48.756279962328136,53.98806157164122,10.489416847937676,0.0,0.010627575327191162,0.07439302729033813,0.22317908187101437,0.5207511910323669,0.595144218322705,0.6695372456130432,0.9671093547743957,0.17960156569648245,0.32845710227888153,0.4542889078993504,0.5471295756932691,0.6356557795370833,0.6998441352367026,D,D,D,0.4038053521319554,0.010489416847937676
4918,Maryland,125510.0,3949.0,6045680,785.0,0.0,530.0,3710.0,6991.0,11432.0,15498.0,19447.0,23281.0,5.714285714285714,40.0,88.0,125.0,171.0,227.0,280.0,2319.8494886109984,4472.137436605,6238.398191421991,7647.525132206007,8737.564164329,9652.689090767002,35.83992618063985,61.129335637609984,82.07445017049031,98.57476950927958,113.08012781135994,123.25619664232954,2076.02784136772,12.98447817284408,8.766590358735494,61.36613251114846,115.63628905267895,189.09369996427202,256.34833467864655,321.66770321948894,385.084887059851,38.372019170895555,73.9724470465688,103.1877008280622,126.49569828714068,144.52574672045162,159.6625870169609,65.31936854084239,0.0,0.09451849443380586,0.6616294610366411,1.4555848142806103,2.067592065739503,2.8284659459316406,3.7547471913829376,4.6314062272564875,0.5928187760622436,1.0111242347859957,1.3575718557795038,1.6304992905558942,1.8704286004446142,2.0387482738472684,R,D,S,2.0760278413677202,0.06531936854084239
5138,Massachusetts,132870.0,9480.0,6892503,754.0,24.0,553.8571428571429,3877.0,6742.0,9324.0,11324.0,5746.0,8142.0,16.857142857142858,118.0,220.0,314.0,403.0,472.0,592.0,2972.6966429180175,5620.398699433019,7859.5926510069985,9606.311665274,11084.858795270993,12186.917009772005,109.40780094492038,203.0331252615797,282.94197800020993,347.3722763299993,398.3757866933993,441.9092829707588,1927.7467126238464,10.939422151865585,8.035646017958104,56.249522125706726,97.8164245993074,135.27741663659776,164.29445152218287,83.36594122628601,118.12834901921696,43.12942109590692,81.54365256617253,114.0310370703792,139.37334035652938,160.82486718208165,176.8140980101424,137.54074535767342,0.3482044186270213,0.24457215117850306,1.7120050582495212,3.1918738374143616,4.555674477036861,5.846932529445399,6.848020232998085,8.58904232613319,1.587344988386953,2.9457096393223146,4.105068623114272,5.03985673027635,5.779842050027389,6.411448540113204,R,D,S,1.9277467126238463,0.1375407453576734
5358,Michigan,139012.0,7102.0,9986857,998.0,19.0,953.5714285714286,6675.0,12290.0,18166.0,23770.0,28669.0,34394.0,11.857142857142858,83.0,147.0,208.0,311.0,396.0,468.0,6294.621544572001,11642.286297985003,15977.230477866979,19563.44060911599,22416.14137080501,24725.71727830899,51.03380084792934,102.78265775867021,146.14130886262956,183.17519102662027,211.63858224705928,237.16066909409074,1391.949439147872,9.993133975984637,9.548263568522394,66.83784497965675,123.06174004494106,181.89906994763217,238.0128202496541,287.06729254258875,344.3926352404966,63.02905453209154,116.57607892037508,159.98256987025025,195.8918667716579,224.4564167766196,247.58257055557112,71.11346442629548,0.19025004563497805,0.11872747208799384,0.8310923046159567,1.4719345635969354,2.0827373416881807,3.1140928522356934,3.9652114774448055,4.686159018798406,0.5110096284339442,1.0291792278458598,1.4633363515931945,1.8341625501058068,2.1191710489802675,2.374727795682773,D,R,S,1.391949439147872,0.07111346442629549
5578,Minnesota,100200.0,2102.0,5639632,1066.0,13.0,1026.857142857143,7188.0,13478.0,17951.0,22077.0,27810.0,32892.0,8.857142857142858,62.0,108.0,166.0,213.0,247.0,311.0,4988.874536738003,9343.719221879,12919.707651908015,15843.780000119994,18353.50317384301,20217.995589633007,37.972623626350014,74.11809857929984,104.93047324051986,129.97941642525984,150.36878377125004,166.23615940445006,1776.7116719672488,18.901942538094683,18.207874961648965,127.45512473154278,238.98722469834914,318.30091041401283,391.46171239541866,493.1172814112694,583.2295440553568,88.4609942056149,165.67959082931299,229.0877782789376,280.9364157115215,325.43795719016794,358.49849049783757,37.271935473803964,0.23051149436700835,0.15705178737092879,1.0993625115965013,1.915018568587454,2.943454466532568,3.776842176936367,4.3797183929731585,5.514544211395354,0.673317401318916,1.3142364356273573,1.8605907839468934,2.3047499628567936,2.6662871579431076,2.947641963242461,D,S,S,1.7767116719672487,0.03727193547380397
5798,Mississippi,98886.0,2979.0,2976149,696.0,10.0,510.85714285714283,3576.0,6951.0,10564.0,13770.0,18191.0,23437.0,15.0,105.0,199.0,323.0,443.0,580.0,789.0,2228.8617969759944,4327.147911968001,6029.408155495999,7504.301445001998,8631.598417701985,9541.338107136995,81.06194991560005,147.38905126726968,201.10494563185011,243.07667317130017,281.01120196236025,312.6090843157399,3322.615903975238,23.38592590626343,17.165039211986457,120.1552744839052,233.55685484832918,354.955346657711,462.67844788684977,611.2261180471811,787.4941745188161,74.890800056583,145.39419605564106,202.59093733196823,252.14804248718724,290.0257486336197,320.59342818981827,100.09579493499821,0.3360046825612562,0.5040070238418842,3.52804916689319,6.686493182968998,10.852951246728574,14.885007437463647,19.48827158855286,26.510769454083114,2.7237194749187643,4.952341138406366,6.757220341852848,8.167490040696894,9.44210797115199,10.503811614127516,R,R,R,3.322615903975238,0.1000957949349982
